"team","player","player_tidy","espncricinfo_id"
"Australia","A Gardner","A Gardner","858809"
"Australia","A King","A King","944393"
"Australia","A Sutherland","A Sutherland","1071705"
"Australia","AJ Healy","AJ Healy","275486"
"Australia","BL Mooney","BL Mooney","381258"
"Australia","D Brown","D Brown","388845"
"Australia","DM Kimmince","DM Kimmince","263473"
"Australia","EA Perry","EA Perry","275487"
"Australia","EJ Villani","EJ Villani","275442"
"Australia","G Wareham","G Wareham","946057"
"Australia","GM Harris","GM Harris","381268"
"Australia","JL Jonassen","JL Jonassen","374936"
"Australia","M Strano","M Strano","382231"
"Australia","ML Schutt","ML Schutt","420314"
"Australia","MM Lanning","MM Lanning","329336"
"Australia","NJ Carey","NJ Carey","381217"
"Australia","P Litchfield","P Litchfield","1176132"
"Australia","RL Haynes","RL Haynes","268889"
"Australia","S Molineux","S Molineux","944373"
"Australia","TJ Vlaeminck","TJ Vlaeminck","1071711"
"Australia","TM McGrath","TM McGrath","381311"
"Bangladesh","Ayasha Rahman","Ayasha Rahman","301595"
"Bangladesh","Dilara Akter","Dilara Akter","1346729"
"Bangladesh","Fahima Khatun","Fahima Khatun","627048"
"Bangladesh","Fargana Hoque","Fargana Hoque","486995"
"Bangladesh","Jahanara Alam","Jahanara Alam","343649"
"Bangladesh","Khadija Tul Kubra","Khadija Tul Kubra","535871"
"Bangladesh","Lata Mondal","Lata Mondal","346295"
"Bangladesh","Marufa Akter","Marufa Akter","1332561"
"Bangladesh","Murshida Khatun","Murshida Khatun","1080264"
"Bangladesh","Nahida Akter","Nahida Akter","924183"
"Bangladesh","Nigar Sultana","Nigar Sultana","924177"
"Bangladesh","Panna Ghosh","Panna Ghosh","301600"
"Bangladesh","Rabeya Khan","Rabeya Khan","1204964"
"Bangladesh","Ritu Moni","Ritu Moni","478808"
"Bangladesh","Rumana Ahmed","Rumana Ahmed","343648"
"Bangladesh","S Mostary","S Mostary","1145089"
"Bangladesh","S Rani","S Rani","1380052"
"Bangladesh","Salma Khatun","Salma Khatun","301603"
"Bangladesh","Sanjida Islam","Sanjida Islam","535869"
"Bangladesh","Shamima Sultana","Shamima Sultana","535870"
"Bangladesh","Sharmin Akhter","Sharmin Akhter","535868"
"Bangladesh","Shorna Akter","Shorna Akter","1352206"
"Bangladesh","Taj Nehar","Taj Nehar","1440554"
"Barbados","A Scantlebury","A Scantlebury","1325398"
"Barbados","A Williams","A Williams","1325401"
"Barbados","AA Alleyne","AA Alleyne","661441"
"Barbados","DJS Dottin","DJS Dottin","355349"
"Barbados","HK Matthews","HK Matthews","474308"
"Barbados","KO Elliott","KO Elliott","474196"
"Barbados","Kycia A Knight","Kycia A Knight","472975"
"Barbados","Kyshona A Knight","Kyshona A Knight","472977"
"Barbados","S Carrington","S Carrington","1325395"
"Barbados","SC Selman","SC Selman","355356"
"Barbados","SJ Bruce","SJ Bruce","663639"
"Barbados","SS Connell","SS Connell","474191"
"Barbados","T Holder","T Holder","1325396"
"England","A Capsey","A Capsey","1187120"
"England","A Shrubsole","A Shrubsole","254238"
"England","AE Jones","AE Jones","515874"
"England","CE Dean","CE Dean","1039421"
"England","D Hazell","D Hazell","297079"
"England","DN Wyatt","DN Wyatt","254168"
"England","DR Gibson","DR Gibson","886203"
"England","FC Wilson","FC Wilson","466619"
"England","FG Kemp","FG Kemp","1195947"
"England","FR Davies","FR Davies","652945"
"England","HC Knight","HC Knight","358259"
"England","IECM Wong","IECM Wong","1146066"
"England","KH Brunt","KH Sciver-Brunt","53906"
"England","KH Sciver-Brunt","KH Sciver-Brunt","53906"
"England","KL Gordon","KL Gordon","577317"
"England","L Winfield","L Winfield","517572"
"England","LCN Smith","LCN Smith","517577"
"England","LK Bell","LK Bell","878025"
"England","ME Bouchier","ME Bouchier","1022077"
"England","MK Villiers","MK Villiers","874173"
"England","NR Sciver","NR Sciver-Brunt","515905"
"England","NR Sciver-Brunt","NR Sciver-Brunt","515905"
"England","S Ecclestone","S Ecclestone","878039"
"England","S Glenn","S Glenn","885837"
"England","SIR Dunkley","SIR Dunkley","885815"
"England","TT Beaumont","TT Beaumont","297074"
"India","A Reddy","A Reddy","960867"
"India","AA Patil","AA Patil","578451"
"India","D Hemalatha","D Hemalatha","961107"
"India","DB Sharma","DB Sharma","597811"
"India","DP Vaidya","DP Vaidya","709837"
"India","H Deol","H Deol","960845"
"India","H Kaur","H Kaur","372317"
"India","JI Rodrigues","JI Rodrigues","883405"
"India","M Joshi","M Joshi","960815"
"India","M Raj","M Raj","54273"
"India","Meghna Singh","Meghna Singh","709839"
"India","P Vastrakar","P Vastrakar","883413"
"India","Poonam Yadav","Poonam Yadav","630972"
"India","RM Ghosh","RM Ghosh","1212830"
"India","RP Yadav","RP Yadav","960737"
"India","RS Gayakwad","RS Gayakwad","709635"
"India","Renuka Singh","Renuka Singh","960853"
"India","S Asha","S Asha","786645"
"India","S Mandhana","S Mandhana","597806"
"India","S Meghana","S Meghana","556529"
"India","S Pandey","S Pandey","442145"
"India","S Rana","S Rana","556537"
"India","S Sajana","S Sajana","960955"
"India","SR Patil","SR Patil","1289948"
"India","Shafali Verma","Shafali Verma","1182523"
"India","T Bhatia","T Bhatia","883423"
"India","V Krishnamurthy","V Krishnamurthy","442205"
"India","YH Bhatia","YH Bhatia","960715"
"Ireland","A Hunter","A Hunter","1229014"
"Ireland","AN Kelly","AN Kelly","592593"
"Ireland","C Murray","C Murray","1135028"
"Ireland","C Raack","C Raack","792135"
"Ireland","CJ Metcalfe","CJ Metcalfe","54889"
"Ireland","CMA Shillington","CMA Shillington","54903"
"Ireland","CNIM Joyce","CNIM Joyce","54875"
"Ireland","EAJ Richardson","EAJ Richardson","54945"
"Ireland","G Dempsey","G Dempsey","1229017"
"Ireland","GH Lewis","GH Lewis","774347"
"Ireland","IMHC Joyce","IMHC Joyce","54877"
"Ireland","J Maguire","J Maguire","1229018"
"Ireland","KJ Garth","KJ Garth","418423"
"Ireland","L Delany","L Delany","418420"
"Ireland","L Little","L Little","1094718"
"Ireland","L Maritz","L Maritz","1026413"
"Ireland","L Paul","L Paul","1026403"
"Ireland","LK O'Reilly","LK O'Reilly","646693"
"Ireland","MV Waldron","MV Waldron","463208"
"Ireland","O Prendergast","O Prendergast","1150585"
"Ireland","SM Kavanagh","SM Kavanagh","418422"
"New Zealand","AC Kerr","AC Kerr","803971"
"New Zealand","AE Satterthwaite","AE Satterthwaite","233007"
"New Zealand","AM Peterson","AM Peterson","329003"
"New Zealand","B Bezuidenhout","B Bezuidenhout","499247"
"New Zealand","BM Halliday","BM Halliday","594654"
"New Zealand","EJ Carson","EJ Carson","1169661"
"New Zealand","FC Jonas","FC Jonas","1208952"
"New Zealand","GE Plimmer","GE Plimmer","1208951"
"New Zealand","HM Rowe","HM Rowe","543550"
"New Zealand","HNK Jensen","HNK Jensen","439029"
"New Zealand","IC Gaze","IC Gaze","1211545"
"New Zealand","JM Kerr","JM Kerr","1068933"
"New Zealand","JM Watkin","JM Watkin","697885"
"New Zealand","KJ Martin","KJ Martin","54537"
"New Zealand","KT Perkins","KT Perkins","274958"
"New Zealand","LM Kasperek","LM Kasperek","306524"
"New Zealand","LMM Tahuhu","LMM Tahuhu","380929"
"New Zealand","ML Green","ML Green","438265"
"New Zealand","MM Penfold","MM Penfold","1239671"
"New Zealand","RA Mair","RA Mair","701751"
"New Zealand","RH Priest","RH Priest","231305"
"New Zealand","SFM Devine","SFM Devine","231740"
"New Zealand","SW Bates","SW Bates","54565"
"Pakistan","Aiman Anwer","Aiman Anwer","941805"
"Pakistan","Aliya Riaz","Aliya Riaz","572645"
"Pakistan","Anam Amin","Anam Amin","725879"
"Pakistan","Ayesha Naseem","Ayesha Naseem","1214078"
"Pakistan","Ayesha Zafar","Ayesha Zafar","915489"
"Pakistan","Bismah Maroof","Bismah Maroof","260229"
"Pakistan","Diana Baig","Diana Baig","572638"
"Pakistan","Fatima Sana","Fatima Sana","1144886"
"Pakistan","Gull Feroza","Gull Feroza","1144870"
"Pakistan","Iram Javed","Iram Javed","572633"
"Pakistan","Javeria Khan","Javeria Khan","346680"
"Pakistan","Kainat Imtiaz","Kainat Imtiaz","361856"
"Pakistan","Muneeba Ali","Muneeba Ali","941795"
"Pakistan","Nahida Khan","Nahida Khan","361854"
"Pakistan","Nashra Sandhu","Nashra Sandhu","941803"
"Pakistan","Nida Dar","Nida Dar","333355"
"Pakistan","Sadaf Shamas","Sadaf Shamas","1315572"
"Pakistan","Sadia Iqbal","Sadia Iqbal","1204917"
"Pakistan","Sana Mir","Sana Mir","220668"
"Pakistan","Sidra Ameen","Sidra Amin","362356"
"Pakistan","Sidra Nawaz","Sidra Nawaz","500733"
"Pakistan","Syeda Aroob Shah","Syeda Aroob Shah","1204960"
"Pakistan","Tuba Hassan","Tuba Hassan","1204959"
"Pakistan","Umaima Sohail","Omaima Sohail","941777"
"Scotland","A Lister","A Lister","1184173"
"Scotland","AH Maqsood","AH Maqsood","934494"
"Scotland","DEM Carter","DEM Carter","1352119"
"Scotland","K Fraser","K Fraser","1146661"
"Scotland","KE Bryce","KE Bryce","914675"
"Scotland","L Jack","L Jack","416024"
"Scotland","M McColl","M McColl","1146027"
"Scotland","O Bell","O Bell","1332610"
"Scotland","PA Chatterji","PA Chatterji","526987"
"Scotland","R Slater","R Slater","1184969"
"Scotland","S Horley","S Horley","1142972"
"Scotland","SJ Bryce","SJ Bryce","914677"
"South Africa","A Bosch","A Bosch","482506"
"South Africa","A Dercksen","A Dercksen","1163087"
"South Africa","A Khaka","A Khaka","387261"
"South Africa","CL Tryon","CL Tryon","453370"
"South Africa","D Tucker","D Tucker","939253"
"South Africa","D van Niekerk","D van Niekerk","364413"
"South Africa","F Tunnicliffe","F Tunnicliffe","939263"
"South Africa","L Lee","L Lee","483484"
"South Africa","L Wolvaardt","L Wolvaardt","922481"
"South Africa","M Daniels","M Daniels","478278"
"South Africa","M Kapp","M Kapp","351836"
"South Africa","M Klaas","M Klaas","364368"
"South Africa","M du Preez","M du Preez","54646"
"South Africa","N Mlaba","N Mlaba","971203"
"South Africa","N de Klerk","N de Klerk","939249"
"South Africa","S Ismail","S Ismail","276997"
"South Africa","S Jafta","S Jafta","499254"
"South Africa","S Luus","S Luus","487007"
"South Africa","T Brits","T Brits","600731"
"South Africa","T Chetty","T Chetty","276681"
"South Africa","TS Sekhukhune","TS Sekhukhune","939229"
"South Africa","Y Fourie","Y Fourie","387270"
"South Africa","Z Mali","Z Mali","593963"
"Sri Lanka","AC Jayangani","C Athapaththu","318853"
"Sri Lanka","BMSM Kumari","BMSM Kumari","631609"
"Sri Lanka","BYA Mendis","BYA Mendis","493715"
"Sri Lanka","GWHM Perera","GWHM Perera","371185"
"Sri Lanka","H Karunaratne","H Karunaratne","631722"
"Sri Lanka","H Madavi","H Madavi","557839"
"Sri Lanka","HASD Siriwardene","HASD Siriwardene","54850"
"Sri Lanka","I Ranaweera","I Ranaweera","434844"
"Sri Lanka","KADA Kanchana","KADA Kanchana","340004"
"Sri Lanka","KDU Prabodhani","KDU Prabodhani","335236"
"Sri Lanka","LE Kaushalya","LE Kaushalya","54750"
"Sri Lanka","M Shehani","M Shehani","683433"
"Sri Lanka","MAA Sanjeewani","MAA Sanjeewani","493860"
"Sri Lanka","MADD Surangika","MADD Surangika","272623"
"Sri Lanka","NND de Silva","NND de Silva","557764"
"Sri Lanka","OU Ranasinghe","OU Ranasinghe","429180"
"Sri Lanka","RMVD Gunaratne","RMVD Gunaratne","1290105"
"Sri Lanka","S Nisansala","S Nisansala","924289"
"Sri Lanka","S Sandeepani","S Sandeepani","683445"
"Sri Lanka","SIP Fernando","SIP Fernando","371194"
"Sri Lanka","SS Weerakkody","SS Weerakkody","54836"
"Sri Lanka","U Thimashini","U Thimeshani","924287"
"Sri Lanka","WGAKK Kulasuriya","WGAKK Kulasuriya","557731"
"Sri Lanka","WK Dilhari","WK Dilhari","923703"
"Thailand","C Sutthiruang","C Sutthiruang","587145"
"Thailand","N Boochatham","N Boochatham","301800"
"Thailand","N Chaiwai","N Chaiwai","486944"
"Thailand","N Chantam","N Chantham","486942"
"Thailand","N Koncharoenkai","N Koncharoenkai","944285"
"Thailand","O Kamchomphu","O Kamchomphu","944283"
"Thailand","R Padunglerd","R Padunglerd","486938"
"Thailand","S Laomi","S Laomi","587146"
"Thailand","S Lateh","S Lateh","944293"
"Thailand","S Tippoch","S Tippoch","301738"
"Thailand","W Liengprasert","W Liengprasert","651193"
"West Indies","A Mohammed","A Mohammed","55187"
"West Indies","A Munisar","A Munisar","1352168"
"West Indies","AA Alleyne","AA Alleyne","661441"
"West Indies","ASS Fletcher","ASS Fletcher","355351"
"West Indies","B Cooper","B Cooper","424629"
"West Indies","CA Henry","CA Henry","474190"
"West Indies","CN Nation","CN Nation","355355"
"West Indies","DJS Dottin","DJS Dottin","355349"
"West Indies","HK Matthews","HK Matthews","474308"
"West Indies","K Ramharack","K Ramharack","769517"
"West Indies","Kycia A Knight","Kycia A Knight","472975"
"West Indies","LAGL Kirby","LAGL Kirby","355354"
"West Indies","M Mangru","M Mangru","907733"
